dataset,latent_dim,k,num_nodes,num_features,num_input_edges,num_latent_edges,dim_compression_ratio,edge_compression_ratio,reconstruction_f1,bits_per_edge,latent_density
citeseer,4,1,3327,3703,4552,2295,0.001080205238995409,0.5041739894551845,0.8086693906555339,1.104396805570506,0.0004146742867305875
citeseer,4,2,3327,3703,4552,4514,0.001080205238995409,0.9916520210896309,0.8086693906555339,1.1043968078962405,0.0008156163967214525
citeseer,4,3,3327,3703,4552,6607,0.001080205238995409,1.4514499121265378,0.8086693906555339,1.104396806307486,0.0011937920935451984
citeseer,4,5,3327,3703,4552,10739,0.001080205238995409,2.359182776801406,0.8086693906555339,1.1043968042466639,0.0019403864862397313
citeseer,4,10,3327,3703,4552,21168,0.001080205238995409,4.650263620386643,0.8086693906555339,1.1043968066080294,0.003824760438874364
citeseer,4,20,3327,3703,4552,41488,0.001080205238995409,9.114235500878735,0.8086693906555339,1.1043968048324584,0.007496299222111702
citeseer,8,1,3327,3703,4552,2271,0.002160410477990818,0.49890158172231985,0.8161362617660242,1.0802584981462113,0.00041033781599253416
citeseer,8,2,3327,3703,4552,4498,0.002160410477990818,0.9881370826010545,0.8161362617660242,1.0802584948130096,0.0008127254550345242
citeseer,8,3,3327,3703,4552,6780,0.002160410477990818,1.4894551845342707,0.8161362617660242,1.0802580508602888,0.0012250507716089487
citeseer,8,5,3327,3703,4552,11284,0.002160410477990818,2.4789103690685415,0.8161362617660242,1.080258356053298,0.002038860460743308
citeseer,8,10,3327,3703,4552,22423,0.002160410477990818,4.925966608084359,0.8161362617660242,1.0802584974464742,0.004051521420478821
citeseer,8,20,3327,3703,4552,44368,0.002160410477990818,9.746924428822496,0.8161362617660242,1.0802562929811081,0.008016674779355526
citeseer,16,1,3327,3703,4552,2257,0.004320820955981636,0.49582601054481545,0.818705035971223,1.0632412846429724,0.00040780819836072624
citeseer,16,2,3327,3703,4552,4509,0.004320820955981636,0.9905536028119508,0.818705035971223,1.063240654795272,0.0008147130138240755
citeseer,16,3,3327,3703,4552,6780,0.004320820955981636,1.4894551845342707,0.8187786671463261,1.0632444888867851,0.0012250507716089487
citeseer,16,5,3327,3703,4552,11477,0.004320820955981636,2.5213093145869947,0.818705035971223,1.0632410934289716,0.0020737326703965664
citeseer,16,10,3327,3703,4552,23011,0.004320820955981636,5.055140597539543,0.8187786671463261,1.0632444925783797,0.004157764371484518
citeseer,16,20,3327,3703,4552,45525,0.004320820955981636,10.00109841827768,0.818705035971223,1.0632406553203744,0.008225727826356888
citeseer,32,1,3327,3703,4552,2247,0.008641641911963273,0.49362917398945516,0.8159899614591736,1.068197901912783,0.00040600134525448084
citeseer,32,2,3327,3703,4552,4511,0.008641641911963273,0.9909929701230229,0.8158437135944081,1.0682083776221303,0.0008150743669830263
citeseer,32,3,3327,3703,4552,6830,0.008641641911963273,1.500439367311072,0.816209431594047,1.068205223157815,0.0012340850662440062
citeseer,32,5,3327,3703,4552,11549,0.008641641911963273,2.5371265377855887,0.816209431594047,1.0682028859317094,0.0020867420826107264
citeseer,32,10,3327,3703,4552,23405,0.008641641911963273,5.141695957820738,0.816209431594047,1.0682028056957966,0.004228954669088125
citeseer,32,20,3327,3703,4552,46483,0.008641641911963273,10.211555360281196,0.8158437135944081,1.0682083743764934,0.00839882530272007
citeseer,64,1,3327,3703,4552,2252,0.017283283823926545,0.4947275922671353,0.8173819357155683,1.0835278290144508,0.00040690478635951877
citeseer,64,2,3327,3703,4552,4512,0.017283283823926545,0.9912126537785588,0.8173819357155683,1.0835248212368458,0.0008152550435625017
citeseer,64,3,3327,3703,4552,6849,0.017283283823926545,1.5046133567662565,0.8173819357155683,1.0835212285984028,0.0012375181540846825
citeseer,64,5,3327,3703,4552,11599,0.017283283823926545,2.54811072056239,0.8173819357155683,1.0835248233501016,0.002095776377245784
citeseer,64,10,3327,3703,4552,23632,0.017283283823926545,5.191564147627417,0.817455329083236,1.0835268672643557,0.004269970580935478
citeseer,64,20,3327,3703,4552,47106,0.017283283823926545,10.34841827768014,0.8173819357155683,1.0835248257494074,0.008511392399668694
citeseer,128,1,3327,3703,4552,2248,0.03456656764785309,0.4938488576449912,0.8140200286123033,1.1421570952895932,0.00040618202183395624
citeseer,128,2,3327,3703,4552,4502,0.03456656764785309,0.9890158172231986,0.8140200286123033,1.142157098351983,0.0008134481613524258
citeseer,128,3,3327,3703,4552,6846,0.03456656764785309,1.5039543057996485,0.8140200286123033,1.1421568940054263,0.0012369761243462563
citeseer,128,5,3327,3703,4552,11594,0.03456656764785309,2.54701230228471,0.8140200286123033,1.1421568542770992,0.002094872994348407
citeseer,128,10,3327,3703,4552,23680,0.03456656764785309,5.202108963093146,0.8140200286123033,1.1421570933123264,0.004278643522411585
citeseer,128,20,3327,3703,4552,47572,0.03456656764785309,10.45079086115993,0.8140200286123033,1.1421570958313572,0.008595592342317104
